Wallet,Block,Balance Snapshot Time,LP Token Address,LP Balance in Wallet,LP Balance in Staking,LP Supply,Token0,Token0 Balance,Token1,Token1 Balance
0x9e5dE432ac02b054835920232b4Fa6a04C2bF6FD,23201013,Dec-31-2021 11:59:59 PM +UTC,0x4A35582a710E1F4b2030A3F826DA20BfB6703C09,0.000000,14111.869015,74963.829461,WETH,292.812783,DAI,1079576.330183
0x9e5dE432ac02b054835920232b4Fa6a04C2bF6FD,23201013,Dec-31-2021 11:59:59 PM +UTC,0xadbF1854e5883eB8aa7BAf50705338739e558E5b,0.004603,0.000000,438875.113176,WMATIC,0.233248,WETH,0.000160
0x9e5dE432ac02b054835920232b4Fa6a04C2bF6FD,23201013,Dec-31-2021 11:59:59 PM +UTC,0xF6422B997c7F54D1c6a6e103bcb1499EeA0a7046,0.000000,0.001357,0.009564,WETH,555.296010,USDT,2045241.719656
0x9e5dE432ac02b054835920232b4Fa6a04C2bF6FD,23201013,Dec-31-2021 11:59:59 PM +UTC,0x853Ee4b2A13f8a742d64C8F088bE7bA2131f670d,0.000000,0.012642,0.486615,USDC,1139621.749812,WETH,309.235402
